gene,logFC,P.Value,adj.P.Val,logFC_depth,P_depth,q_depth,hit_baseline,hit_depth,reportable,tier,hierarchy_bin
CARD6,-0.812907101733485,0.0751761987921441,0.608984814130257,-0.777174066594597,0.130980957186011,0.856136007321429,FALSE,FALSE,FALSE,secondary,HSC_MPP
MFHAS1,-0.803753440401075,0.0771949841199668,0.608984814130257,-0.882923902014408,0.0824971654028959,0.856136007321429,FALSE,FALSE,FALSE,secondary,HSC_MPP
ZW10,-0.800523388217654,0.0771837899197109,0.608984814130257,-0.769695227807685,0.129780525527232,0.856136007321429,FALSE,FALSE,FALSE,secondary,HSC_MPP
PNPLA4,-0.799168477801551,0.0751750220234245,0.608984814130257,-0.936277915920597,0.0540234190588441,0.856136007321429,FALSE,FALSE,FALSE,secondary,HSC_MPP
KLF7,0.796311574687168,0.0764208377330838,0.608984814130257,0.657217641349194,0.189993280566609,0.881373182497195,FALSE,FALSE,FALSE,secondary,HSC_MPP
MLH3,-0.740936660788002,0.0765247140306727,0.608984814130257,-0.602421016390962,0.185885883668692,0.879125523913381,FALSE,FALSE,FALSE,secondary,HSC_MPP
FASN,0.736842159980299,0.0762602105577596,0.608984814130257,0.466070023725787,0.247767054206326,0.896782789555678,FALSE,FALSE,FALSE,secondary,HSC_MPP
ZC3H4,-0.735003202735794,0.075189750623319,0.608984814130257,-0.724224832858689,0.119667798287724,0.856136007321429,FALSE,FALSE,FALSE,secondary,HSC_MPP
REC8,-0.727515518012715,0.0732342396613031,0.608984814130257,-0.9571844347576,0.0248169729685504,0.856136007321429,FALSE,FALSE,FALSE,secondary,HSC_MPP
RAD18,-0.725690546759659,0.0761838099769354,0.608984814130257,-0.661184365983422,0.147016279502543,0.856136007321429,FALSE,FALSE,FALSE,secondary,HSC_MPP
ATP10D,-0.714435334167336,0.0766474682174064,0.608984814130257,-0.644019530790586,0.153285825281591,0.856136007321429,FALSE,FALSE,FALSE,secondary,HSC_MPP
HOOK2,-0.707123423232876,0.0772507112805686,0.608984814130257,-0.532779869541952,0.211165908656861,0.887180321440757,FALSE,FALSE,FALSE,secondary,HSC_MPP
SESN3,-0.707032154320101,0.0735354044812733,0.608984814130257,-0.519065748689395,0.210180541621806,0.887180321440757,FALSE,FALSE,FALSE,secondary,HSC_MPP
GFM2,-0.704828297763383,0.0736911232101413,0.608984814130257,-0.66996241353068,0.133575257895756,0.856136007321429,FALSE,FALSE,FALSE,secondary,HSC_MPP
GPR137,0.697129069830184,0.0748785900325876,0.608984814130257,0.741239946165055,0.109247573717091,0.856136007321429,FALSE,FALSE,FALSE,secondary,HSC_MPP
ABCC4,0.68535844353648,0.0735234116817251,0.608984814130257,0.81333442834659,0.0762222827907439,0.856136007321429,FALSE,FALSE,FALSE,secondary,HSC_MPP
JADE2,0.67510606101418,0.0771058860774653,0.608984814130257,0.668407119154782,0.136650345873402,0.856136007321429,FALSE,FALSE,FALSE,secondary,HSC_MPP
POLR3A,-0.6686367376735,0.0766809734738601,0.608984814130257,-0.63645281603741,0.136903647277947,0.856136007321429,FALSE,FALSE,FALSE,secondary,HSC_MPP
