dataset,sample,sender_bin,receiver_bin,reach,C_geo
Chen2023,AML304,LMPP_GMP,Megakaryocyte,0.04315164593872855,3.143034717597833
Chen2023,AML304,LMPP_GMP,T_NK,0.12327464459286716,2.09334052991916
Chen2023,AML304,LMPP_GMP,B_Plasma,0.03608390816304156,3.321908270279068
Chen2023,AML304,Mono_DC,HSC_MPP,0.15487512416221197,1.8651361373400963
Chen2023,AML304,Mono_DC,LMPP_GMP,0.20056576066185453,1.6066131026593993
Chen2023,AML304,Mono_DC,Mono_DC,0.44226858474050224,0.8158379236697303
Chen2023,AML304,Mono_DC,Erythroid,0.00686314089624546,4.981590085433143
Chen2023,AML304,Mono_DC,Megakaryocyte,0.03937051441192985,3.234738108022701
Chen2023,AML304,Mono_DC,T_NK,0.11920219601234908,2.126934101598196
Chen2023,AML304,Mono_DC,B_Plasma,0.036854679114907044,3.300772691069684
Chen2023,AML304,Erythroid,HSC_MPP,0.1455096975273493,1.9275125449190769
Chen2023,AML304,Erythroid,LMPP_GMP,0.18104262608431262,1.709022772214597
Chen2023,AML304,Erythroid,Mono_DC,0.26113393712701455,1.34272183421664
Chen2023,AML304,Erythroid,Erythroid,0.17642309245054502,1.7348702343937694
Chen2023,AML304,Erythroid,Megakaryocyte,0.053669781236731266,2.924905168882734
Chen2023,AML304,Erythroid,T_NK,0.13099719028108314,2.032579404247009
Chen2023,AML304,Erythroid,B_Plasma,0.05122367529296412,2.971553445748633
Chen2023,AML304,Megakaryocyte,HSC_MPP,0.13259677892982683,2.0204424931556866
Chen2023,AML304,Megakaryocyte,LMPP_GMP,0.1725887389254833,1.7568437462302031
Chen2023,AML304,Megakaryocyte,Mono_DC,0.28965295353912407,1.2390717845671901
Chen2023,AML304,Megakaryocyte,Erythroid,0.006863140896245459,4.981590085433143
Chen2023,AML304,Megakaryocyte,Megakaryocyte,0.18691123860611097,1.677121434674571
Chen2023,AML304,Megakaryocyte,T_NK,0.1753152152947762,1.7411696950726154
Chen2023,AML304,Megakaryocyte,B_Plasma,0.03607193380843315,3.322240172849703
Chen2023,AML304,T_NK,HSC_MPP,0.1563447775834981,1.8556915977244246
Chen2023,AML304,T_NK,LMPP_GMP,0.1948677457887955,1.6354341772423062
Chen2023,AML304,T_NK,Mono_DC,0.27445858133034173,1.292954917102702
Chen2023,AML304,T_NK,Erythroid,0.006863140896245462,4.981590085433143
Chen2023,AML304,T_NK,Megakaryocyte,0.04500072395867126,3.1010767013707548
Chen2023,AML304,T_NK,T_NK,0.29175107719677335,1.2318543156311195
Chen2023,AML304,T_NK,B_Plasma,0.03071395324567477,3.4830382245277995
Chen2023,AML304,B_Plasma,HSC_MPP,0.1459386359252658,1.9245690475071349
Chen2023,AML304,B_Plasma,LMPP_GMP,0.19301035388099555,1.6450114444644126
Chen2023,AML304,B_Plasma,Mono_DC,0.30288568393797716,1.1943998253937982
Chen2023,AML304,B_Plasma,Erythroid,0.006863140896245462,4.981590085433143
Chen2023,AML304,B_Plasma,Megakaryocyte,0.03843918461587394,3.2586779069709424
Chen2023,AML304,B_Plasma,T_NK,0.11764464790597022,2.1400866565055043
Chen2023,AML304,B_Plasma,B_Plasma,0.195218352837672,1.6336365887380173
Chen2023,AML320,HSC_MPP,HSC_MPP,0.44537763187747315,0.8088327457219875
Chen2023,AML320,HSC_MPP,LMPP_GMP,0.10626825926473131,2.241788634039104
Chen2023,AML320,HSC_MPP,Mono_DC,0.026969021192362462,3.6130664349487644
Chen2023,AML320,HSC_MPP,Erythroid,0.1644633565505234,1.8050674901224044
Chen2023,AML320,HSC_MPP,Megakaryocyte,0.013255587278504684,4.32333613403594
Chen2023,AML320,HSC_MPP,T_NK,0.03867462483423741,3.2525715830422635
Chen2023,AML320,HSC_MPP,B_Plasma,0.20499151900216647,1.58478667142066
Chen2023,AML320,LMPP_GMP,HSC_MPP,0.29293286205167424,1.2278118359769725
Chen2023,AML320,LMPP_GMP,LMPP_GMP,0.2551503266807556,1.3659023911251196
Chen2023,AML320,LMPP_GMP,Mono_DC,0.026190213664384107,3.6423694622527973
Chen2023,AML320,LMPP_GMP,Erythroid,0.16634200878499011,1.7937093162348696
Chen2023,AML320,LMPP_GMP,Megakaryocyte,0.01380086416248253,4.2830240683098095
Chen2023,AML320,LMPP_GMP,T_NK,0.037299420708563485,3.2887774830544836
Chen2023,AML320,LMPP_GMP,B_Plasma,0.20828430394714897,1.5688512866645816
Chen2023,AML320,Mono_DC,HSC_MPP,0.34483948191493674,1.0646762400341387
Chen2023,AML320,Mono_DC,LMPP_GMP,0.08693046355798566,2.442646749362121
Chen2023,AML320,Mono_DC,Mono_DC,0.17427007906299966,1.7471490046286215
Chen2023,AML320,Mono_DC,Erythroid,0.1493949605857045,1.9011617378717045
Chen2023,AML320,Mono_DC,Megakaryocyte,0.011758808644700143,4.443152647366205
Chen2023,AML320,Mono_DC,T_NK,0.032462189787102615,3.427679258077355
Chen2023,AML320,Mono_DC,B_Plasma,0.20034401644656982,1.607719307848488
Chen2023,AML320,Erythroid,HSC_MPP,0.2966947757729584,1.2150513596160508
Chen2023,AML320,Erythroid,LMPP_GMP,0.09312990236411474,2.3737599608318676
Chen2023,AML320,Erythroid,Mono_DC,0.028694343246981863,3.5510552750515
Chen2023,AML320,Erythroid,Erythroid,0.32017752677363537,1.138879665849388
Chen2023,AML320,Erythroid,Megakaryocyte,0.011286240992959965,4.484170906397177
