arm,alpha,kind,k,delta,n,frac_targets_moved,intercept,p_two_sided,wilcoxon_p,p_registered
mask,0.5,Dx_to_Treatment,6,0.25,11,0.9848484848484849,-0.07751922372525283,0.043924225716729395,0.240234375,0.021962112858364698
mask,0.5,Dx_to_Relapse,6,0.25,11,0.9848484848484849,-0.021379426443312755,0.5290690171881456,0.3203125,0.5290690171881456
mask,0.5,Dx_to_Treatment,6,0.5,11,0.9848484848484849,-0.07702434136960933,0.04689028685757481,0.2060546875,0.023445143428787407
mask,0.5,Dx_to_Relapse,6,0.5,11,0.9848484848484849,-0.02372325737904184,0.4852216250303935,0.3203125,0.4852216250303935
mask,0.5,Dx_to_Treatment,6,1.0,11,1.0,-0.0751675332179761,0.049272552027814276,0.240234375,0.024636276013907138
mask,0.5,Dx_to_Relapse,6,1.0,11,0.9848484848484849,-0.03237020616687902,0.38700948529181967,0.3203125,0.38700948529181967
mask,0.5,Dx_to_Treatment,6,2.0,11,1.0,-0.07652136940604619,0.046157939291963504,0.240234375,0.023078969645981752
mask,0.5,Dx_to_Relapse,6,2.0,11,0.9848484848484849,-0.03285849657627838,0.3800736302291078,0.2783203125,0.3800736302291078
mask,0.5,Dx_to_Treatment,6,4.0,11,1.0,-0.07659155057531443,0.046382200569706225,0.240234375,0.023191100284853113
mask,0.5,Dx_to_Relapse,6,4.0,11,0.9848484848484849,-0.03292409355876069,0.37926971579754515,0.2783203125,0.37926971579754515
mask,1.0,Dx_to_Treatment,1,0.0,11,0.0,-0.0028774141481181384,0.8201204755360273,0.7001953125,0.41006023776801365
mask,1.0,Dx_to_Relapse,1,0.0,11,0.0,-0.0007068529410236694,0.9745527763452096,0.5771484375,0.9745527763452096
mask,1.0,Dx_to_Treatment,1,0.25,11,0.9090909090909091,-0.004935129786916792,0.6987949821569867,0.7001953125,0.3493974910784933
mask,1.0,Dx_to_Relapse,1,0.25,11,0.9090909090909091,-0.004066940954291399,0.8519994976444,0.4130859375,0.8519994976444
mask,1.0,Dx_to_Treatment,1,0.5,11,0.9090909090909091,-0.0038480137420128084,0.7679684092466258,0.7001953125,0.3839842046233129
mask,1.0,Dx_to_Relapse,1,0.5,11,0.9090909090909091,-0.0053975804030669565,0.8086715824394188,0.4130859375,0.8086715824394188
mask,1.0,Dx_to_Treatment,1,1.0,11,0.9090909090909091,-0.0038181499690218396,0.7603086025527691,0.7001953125,0.38015430127638455
mask,1.0,Dx_to_Relapse,1,1.0,11,0.9090909090909091,-0.0099945368365464,0.5940008515096413,0.4130859375,0.5940008515096413
mask,1.0,Dx_to_Treatment,1,2.0,11,0.9090909090909091,-0.004057763050505308,0.7463708726299819,0.7001953125,0.37318543631499096
mask,1.0,Dx_to_Relapse,1,2.0,11,0.9090909090909091,-0.010147184975605773,0.5887316594686477,0.4130859375,0.5887316594686477
mask,1.0,Dx_to_Treatment,1,4.0,11,0.9090909090909091,-0.004231127286616905,0.7377009780109437,0.7001953125,0.36885048900547185
mask,1.0,Dx_to_Relapse,1,4.0,11,0.9090909090909091,-0.010169995143645642,0.587949780832878,0.4130859375,0.587949780832878
mask,1.0,Dx_to_Treatment,3,0.0,11,0.0,-0.0028774141481181384,0.8201204755360273,0.7001953125,0.41006023776801365
mask,1.0,Dx_to_Relapse,3,0.0,11,0.0,-0.0007068529410236694,0.9745527763452096,0.5771484375,0.9745527763452096
mask,1.0,Dx_to_Treatment,3,0.25,11,0.9696969696969696,-0.00908405544604467,0.47190948313001396,0.4130859375,0.23595474156500698
mask,1.0,Dx_to_Relapse,3,0.25,11,0.9696969696969696,-0.005602543637317637,0.794945946499561,0.365234375,0.794945946499561
mask,1.0,Dx_to_Treatment,3,0.5,11,0.9696969696969696,-0.007722533605334412,0.5700867743163387,0.51953125,0.28504338715816935
