arm,kind,edge,occupancy,median_within_pair_abs_dC,mean_within_pair_abs_dC,sd_between_patients_at_dx,snr
const,Dx_to_Relapse,Megakaryocyte->Erythroid,0.08108108108108109,0.0,0.00927643784786642,0.0,
const,Dx_to_Relapse,Megakaryocyte->Megakaryocyte,0.08108108108108109,0.0,0.024118738404452698,0.0,
const,Dx_to_Relapse,Megakaryocyte->T_NK,0.05405405405405406,0.0,0.07792207792207792,0.0,
const,Dx_to_Relapse,Megakaryocyte->B_Plasma,0.05405405405405406,0.0,0.04452690166975881,0.0,
const,Dx_to_Relapse,T_NK->HSC_MPP,0.7567567567567568,0.061224489795918324,0.10018552875695734,0.25757245382120286,0.23769812682849256
const,Dx_to_Relapse,T_NK->LMPP_GMP,0.8378378378378378,0.08163265306122447,0.18181818181818182,0.18979691583116115,0.43010526648305997
const,Dx_to_Relapse,T_NK->Mono_DC,0.918918918918919,0.1428571428571429,0.15213358070500924,0.18089006231800822,0.7897456666580018
const,Dx_to_Relapse,T_NK->Erythroid,0.43243243243243246,0.0,0.05194805194805196,0.2336307290513782,0.0
const,Dx_to_Relapse,T_NK->Megakaryocyte,0.08108108108108109,0.0,0.016697588126159554,0.0,
const,Dx_to_Relapse,T_NK->T_NK,0.7297297297297297,0.30612244897959184,0.3914656771799629,0.2298895204760361,1.3316068011525664
const,Dx_to_Relapse,T_NK->B_Plasma,0.5945945945945946,0.22448979591836726,0.2411873840445269,0.3754718864050879,0.5978870963355442
const,Dx_to_Relapse,B_Plasma->HSC_MPP,0.43243243243243246,0.12244897959183676,0.163265306122449,0.26657325487718975,0.4593445792161295
const,Dx_to_Relapse,B_Plasma->LMPP_GMP,0.5945945945945946,0.04081632653061218,0.11873840445269018,0.2776355868112486,0.14701403015154998
const,Dx_to_Relapse,B_Plasma->Mono_DC,0.7027027027027027,0.08163265306122458,0.15213358070500926,0.3256946627834775,0.25064166653383
const,Dx_to_Relapse,B_Plasma->Erythroid,0.35135135135135137,0.04081632653061218,0.13543599257884972,0.23590475723239185,0.1730203621557477
const,Dx_to_Relapse,B_Plasma->Megakaryocyte,0.05405405405405406,0.0,0.005565862708719848,0.0,
const,Dx_to_Relapse,B_Plasma->T_NK,0.6216216216216216,0.04081632653061229,0.23933209647495363,0.42254800628315947,0.09659571438910139
const,Dx_to_Relapse,B_Plasma->B_Plasma,0.6756756756756757,0.08163265306122458,0.20408163265306126,0.35609440592150604,0.22924441300888868
const,Dx_to_Treatment,HSC_MPP->HSC_MPP,0.8108108108108109,0.20408163265306123,0.3896103896103896,0.28881172865302734,0.7066251554424954
const,Dx_to_Treatment,HSC_MPP->LMPP_GMP,0.8108108108108109,0.22448979591836737,0.3487940630797774,0.28075472854206357,0.7995939982351307
const,Dx_to_Treatment,HSC_MPP->Mono_DC,0.7837837837837838,0.16326530612244894,0.33209647495361777,0.2842528219833494,0.5743665268941903
const,Dx_to_Treatment,HSC_MPP->Erythroid,0.5945945945945946,0.2857142857142858,0.33395176252319114,0.31879757809775155,0.8962247687674667
const,Dx_to_Treatment,HSC_MPP->Megakaryocyte,0.05405405405405406,0.0,0.05380333951762523,0.0,
const,Dx_to_Treatment,HSC_MPP->T_NK,0.7837837837837838,0.22448979591836737,0.36920222634508354,0.2789688765648521,0.8047126929809322
const,Dx_to_Treatment,HSC_MPP->B_Plasma,0.5405405405405406,0.1428571428571429,0.3654916512059369,0.4088584061991575,0.34940493014482943
