arm,sample,uid_patient,retest,median_to_other_patients,n_edges_half
dwot_fixed,4978_Dg,GSE227903:4978,0.03612023729408319,0.11826102128230667,24
dwot_fixed,4978_MRD,GSE227903:4978,0.02208153020039092,0.15472962673920723,23
dwot_fixed,4978_R,GSE227903:4978,0.01670934466129015,0.21969042370848077,7
dwot_fixed,5143_Dg,GSE227903:5143,0.0326732980656342,0.13494408167877056,16
dwot_fixed,5143_R,GSE227903:5143,0.034080874070398795,0.14011028171804701,15
dwot_fixed,5750_Dg,GSE227903:5750,0.011855865982434256,0.12025658973219683,24
dwot_fixed,5750_MRD,GSE227903:5750,0.10519386854220342,0.13650858907664273,24
dwot_fixed,5750_R,GSE227903:5750,0.01309943508462245,0.13903805656372165,33
dwot_fixed,6323_Dg,GSE227903:6323,0.05006279840275394,0.1413150219131711,15
dwot_fixed,6323_MRD,GSE227903:6323,0.034609158792227236,0.13466722007105897,32
dwot_fixed,6323_R,GSE227903:6323,0.05538845341062598,0.1297022163120547,21
dwot_fixed,AML328-D0,GSE116256:AML328,0.0752909705170098,0.1575496577256785,19
dwot_fixed,AML328-D29,GSE116256:AML328,0.024486758508041887,0.18871593668318432,13
dwot_fixed,AML329-D0,GSE116256:AML329,0.08619744065290882,0.24915669756352302,5
dwot_fixed,AML329-D20,GSE116256:AML329,0.08122985329075176,0.19520766147146906,7
dwot_fixed,AML556-D0,GSE116256:AML556,0.07478963994259989,0.21906243603847936,13
dwot_fixed,AML556-D31,GSE116256:AML556,0.2552909071575366,0.2282507948804905,18
dwot_fixed,AML707B-D0,GSE116256:AML707B,0.04966339879228052,0.21224582418868462,8
dwot_fixed,AML707B-D113,GSE116256:AML707B,0.07638468213555584,0.23588260455410356,7
dwot_fixed,GSM6085177_AML01M4_P,GSE201966:AML01M4,0.046752364573785635,0.1375361607893978,22
dwot_fixed,GSM6085178_AML01M4_RE,GSE201966:AML01M4,0.03347662756841134,0.1472582854158767,32
dwot_fixed,GSM6085181_AML03M5_P,GSE201966:AML03M5,0.022334339717670786,0.1829205326426524,15
dwot_fixed,GSM6085182_AML03M5_RE,GSE201966:AML03M5,0.027318554563499152,0.17852913878448837,16
