dataset,sample,ccc_eligible,exclude_reason,Timepoint,study_role,sample_role,l2_capable,sorted_sublib,total_cells,n_nodes_present,lymphoid_cells,immune_recv,Study,Patient_ID,uid_patient,is_longitudinal,subtype_stratum,l2_val,l2_flag
GSE185381,GSM5613775_2020-08-26-Control4003-c2,TRUE,"",Healthy,Discovery-AML-immuneReceiver,Healthy-control,TRUE,FALSE,2078,5,984,2050,Lasry 2023 Nat Cancer,Control4003b,GSE185381:Control4003b,FALSE,other,TRUE,TRUE
GSE185381,GSM5613776_2020-08-26-Control4003-c3,TRUE,"",Healthy,Discovery-AML-immuneReceiver,Healthy-control,TRUE,FALSE,1844,3,870,1822,Lasry 2023 Nat Cancer,Control4003c,GSE185381:Control4003c,FALSE,other,TRUE,TRUE
GSE185381,GSM5613777_2020-09-11-AML4340_AML1371-c1,TRUE,"",Diagnosis,Discovery-AML-immuneReceiver,Discovery-AML-immuneReceiver,TRUE,FALSE,2314,5,1940,2228,Lasry 2023 Nat Cancer,AML1371_AML4340a,GSE185381:AML1371_AML4340a,FALSE,other,TRUE,TRUE
GSE185381,GSM5613778_2020-09-11-AML4340_AML1371-c2,TRUE,"",Diagnosis,Discovery-AML-immuneReceiver,Discovery-AML-immuneReceiver,TRUE,FALSE,2396,5,2032,2349,Lasry 2023 Nat Cancer,AML1371_AML4340b,GSE185381:AML1371_AML4340b,FALSE,other,TRUE,TRUE
GSE185381,GSM5613779_2020-09-15-AML0024,TRUE,"",Diagnosis,Discovery-AML-immuneReceiver,Discovery-AML-immuneReceiver,TRUE,FALSE,4847,1,12,4838,Lasry 2023 Nat Cancer,AML0024,GSE185381:AML0024,FALSE,other,TRUE,TRUE
GSE185381,GSM5613780_2020-10-06-AML4897,TRUE,"",Diagnosis,Discovery-AML-immuneReceiver,Discovery-AML-immuneReceiver,TRUE,FALSE,2231,5,1980,2196,Lasry 2023 Nat Cancer,AML4897,GSE185381:AML4897,FALSE,other,TRUE,TRUE
GSE185381,GSM5613781_2020-10-06-count2,TRUE,"",Unknown,Discovery-AML-immuneReceiver,Discovery-AML-immuneReceiver,TRUE,FALSE,3389,6,2145,2916,Lasry 2023 Nat Cancer,Control0005_AML009a,GSE185381:Control0005_AML009a,FALSE,other,TRUE,TRUE
GSE185381,GSM5613782_2020-10-06-count4_0.95,TRUE,"",Diagnosis,Discovery-AML-immuneReceiver,Discovery-AML-immuneReceiver,TRUE,FALSE,2287,6,1279,2041,Lasry 2023 Nat Cancer,AML026_AML051,GSE185381:AML026_AML051,FALSE,other,TRUE,TRUE
GSE185381,GSM5613784_2021-03-09-AML0693,TRUE,"",Diagnosis,Discovery-AML-immuneReceiver,Discovery-AML-immuneReceiver,TRUE,FALSE,2374,7,1192,1556,Lasry 2023 Nat Cancer,AML0693,GSE185381:AML0693,FALSE,other,TRUE,TRUE
GSE185381,GSM5613785_2021-03-09-AML3948,TRUE,"",Diagnosis,Discovery-AML-immuneReceiver,Discovery-AML-immuneReceiver,TRUE,FALSE,6179,6,387,1371,Lasry 2023 Nat Cancer,AML3948,GSE185381:AML3948,FALSE,other,TRUE,TRUE
GSE185381,GSM5613786_2021-03-09-AMLMS3730,TRUE,"",Diagnosis,Discovery-AML-immuneReceiver,Discovery-AML-immuneReceiver,TRUE,FALSE,4292,5,367,3847,Lasry 2023 Nat Cancer,AML3730,GSE185381:AML3730,FALSE,other,TRUE,TRUE
GSE185381,GSM5613787_2021-03-09-count1_0.95,TRUE,"",Unknown,Discovery-AML-immuneReceiver,Discovery-AML-immuneReceiver,TRUE,FALSE,2185,5,1164,2035,Lasry 2023 Nat Cancer,Control0005_AML009b,GSE185381:Control0005_AML009b,FALSE,other,TRUE,TRUE
GSE185381,GSM5613788_2021-03-09-Z-1-1,TRUE,"",Diagnosis,Discovery-AML-immuneReceiver,Discovery-AML-immuneReceiver,TRUE,FALSE,716,7,400,478,Lasry 2023 Nat Cancer,AML0114a,GSE185381:AML0114a,FALSE,other,TRUE,TRUE
GSE185381,GSM5613789_2021-03-09-Z-1-2,TRUE,"",Diagnosis,Discovery-AML-immuneReceiver,Discovery-AML-immuneReceiver,TRUE,FALSE,820,7,462,533,Lasry 2023 Nat Cancer,AML0114b,GSE185381:AML0114b,FALSE,other,TRUE,TRUE
GSE185381,GSM5613790_2021-03-09-Z-1-3,TRUE,"",Diagnosis,Discovery-AML-immuneReceiver,Discovery-AML-immuneReceiver,TRUE,FALSE,1456,7,558,661,Lasry 2023 Nat Cancer,AML0114c,GSE185381:AML0114c,FALSE,other,TRUE,TRUE
GSE185381,GSM5613791_2019-10-21-1-Control0004,TRUE,"",Healthy,Discovery-AML-immuneReceiver,Healthy-control,TRUE,FALSE,10690,1,10690,10690,Lasry 2023 Nat Cancer,Control0004,GSE185381:Control0004,FALSE,other,TRUE,TRUE
GSE185381,GSM5613793_2020-03-18-82,TRUE,"",Healthy,Discovery-AML-immuneReceiver,Healthy-control,TRUE,FALSE,942,1,942,942,Lasry 2023 Nat Cancer,Control0082,GSE185381:Control0082,FALSE,other,TRUE,TRUE
GSE185381,GSM5613795_2020-05-22-5prime_2,TRUE,"",Healthy,Discovery-AML-immuneReceiver,Healthy-control,TRUE,FALSE,1165,1,1165,1165,Lasry 2023 Nat Cancer,Control0182,GSE185381:Control0182,FALSE,other,TRUE,TRUE
GSE185381,GSM5613796_2020-08-07-MDS-AML_cDNA1,TRUE,"",Healthy,Discovery-AML-immuneReceiver,Healthy-control,TRUE,FALSE,1292,1,1292,1292,Lasry 2023 Nat Cancer,Control4003a,GSE185381:Control4003a,FALSE,other,TRUE,TRUE
GSE185381,GSM5613797_2020-08-07-MDS-AML_cDNA2,TRUE,"",Healthy,Discovery-AML-immuneReceiver,Healthy-control,TRUE,FALSE,988,1,988,988,Lasry 2023 Nat Cancer,Control4003,GSE185381:Control4003,FALSE,other,TRUE,TRUE
GSE185381,GSM5613800_2021-04-29-0102_cDNA,TRUE,"",Diagnosis,Discovery-AML-immuneReceiver,Discovery-AML-immuneReceiver,TRUE,FALSE,1394,1,1394,1394,Lasry 2023 Nat Cancer,AML0102,GSE185381:AML0102,FALSE,other,TRUE,TRUE
GSE185381,GSM5613801_2021-04-29-0134_cDNA,TRUE,"",Diagnosis,Discovery-AML-immuneReceiver,Discovery-AML-immuneReceiver,TRUE,FALSE,1197,1,1197,1197,Lasry 2023 Nat Cancer,AML0134,GSE185381:AML0134,FALSE,other,TRUE,TRUE
GSE185381,GSM5613804_2021-04-29-2910_cDNA,TRUE,"",Diagnosis,Discovery-AML-immuneReceiver,Discovery-AML-immuneReceiver,TRUE,FALSE,2009,1,2009,2009,Lasry 2023 Nat Cancer,AML2910,GSE185381:AML2910,FALSE,other,TRUE,TRUE
GSE185381,GSM5613805_2021-04-29-2975_cDNA,TRUE,"",Diagnosis,Discovery-AML-immuneReceiver,Discovery-AML-immuneReceiver,TRUE,FALSE,726,1,726,726,Lasry 2023 Nat Cancer,AML2975,GSE185381:AML2975,FALSE,other,TRUE,TRUE
GSE185381,GSM5613806_2021-04-29-3948_cDNA,TRUE,"",Diagnosis,Discovery-AML-immuneReceiver,Discovery-AML-immuneReceiver,TRUE,FALSE,2019,1,2019,2019,Lasry 2023 Nat Cancer,AML3948,GSE185381:AML3948,FALSE,other,TRUE,TRUE
GSE201966,GSM6085176_AML01M4_CR,TRUE,"",Post_treatment,Validation-relapse,Validation-relapse,TRUE,FALSE,2224,6,872,893,GSE201966 (acute monocytic AML relapse),AML01M4,GSE201966:AML01M4,TRUE,monocytic,TRUE,TRUE
GSE201966,GSM6085177_AML01M4_P,TRUE,"",Diagnosis,Validation-relapse,Validation-relapse,TRUE,FALSE,4199,6,88,1368,GSE201966 (acute monocytic AML relapse),AML01M4,GSE201966:AML01M4,TRUE,monocytic,TRUE,TRUE
GSE201966,GSM6085178_AML01M4_RE,TRUE,"",Relapse,Validation-relapse,Validation-relapse,TRUE,FALSE,6028,7,2075,4045,GSE201966 (acute monocytic AML relapse),AML01M4,GSE201966:AML01M4,TRUE,monocytic,TRUE,TRUE
GSE201966,GSM6085179_AML02M5_P,TRUE,"",Diagnosis,Validation-relapse,Validation-relapse,TRUE,FALSE,2597,6,39,2373,GSE201966 (acute monocytic AML relapse),AML02M5,GSE201966:AML02M5,TRUE,monocytic,TRUE,TRUE
GSE201966,GSM6085180_AML02M5_RE,TRUE,"",Relapse,Validation-relapse,Validation-relapse,TRUE,FALSE,9137,5,33,41,GSE201966 (acute monocytic AML relapse),AML02M5,GSE201966:AML02M5,TRUE,monocytic,TRUE,TRUE
