dataset,sample,node,status,masked_by,abundance_unreliable,n_cells
GSE116256,AML722B-D0,Stromal,NA_technical,STROMAL_NO_EVIDENCE,FALSE,
GSE116256,AML722B-D0,T_NK,present,,FALSE,
GSE116256,AML722B-D49,B_Plasma,present,,FALSE,
GSE116256,AML722B-D49,Erythroid,present,,FALSE,
GSE116256,AML722B-D49,HSC_MPP,present,,FALSE,
GSE116256,AML722B-D49,LMPP_GMP,present,,FALSE,
GSE116256,AML722B-D49,Megakaryocyte,present,,FALSE,
GSE116256,AML722B-D49,Mono_DC,present,,FALSE,
GSE116256,AML722B-D49,Stromal,NA_technical,STROMAL_NO_EVIDENCE,FALSE,
GSE116256,AML722B-D49,T_NK,present,,FALSE,
GSE116256,AML870-D0,B_Plasma,present,,FALSE,
GSE116256,AML870-D0,Erythroid,present,,FALSE,
GSE116256,AML870-D0,HSC_MPP,present,,FALSE,
GSE116256,AML870-D0,LMPP_GMP,present,,FALSE,
GSE116256,AML870-D0,Megakaryocyte,present,,FALSE,
GSE116256,AML870-D0,Mono_DC,present,,FALSE,
GSE116256,AML870-D0,Stromal,NA_technical,STROMAL_NO_EVIDENCE,FALSE,
GSE116256,AML870-D0,T_NK,present,,FALSE,
GSE116256,AML870-D14,B_Plasma,present,,FALSE,
GSE116256,AML870-D14,Erythroid,present,,FALSE,
GSE116256,AML870-D14,HSC_MPP,present,,FALSE,
GSE116256,AML870-D14,LMPP_GMP,present,,FALSE,
GSE116256,AML870-D14,Megakaryocyte,present,,FALSE,
GSE116256,AML870-D14,Mono_DC,present,,FALSE,
GSE116256,AML870-D14,Stromal,NA_technical,STROMAL_NO_EVIDENCE,FALSE,
GSE116256,AML870-D14,T_NK,present,,FALSE,
GSE116256,AML916-D0,B_Plasma,present,,FALSE,
GSE116256,AML916-D0,Erythroid,present,,FALSE,
GSE116256,AML916-D0,HSC_MPP,present,,FALSE,
GSE116256,AML916-D0,LMPP_GMP,present,,FALSE,
GSE116256,AML916-D0,Megakaryocyte,present,,FALSE,
GSE116256,AML916-D0,Mono_DC,present,,FALSE,
GSE116256,AML916-D0,Stromal,NA_technical,STROMAL_NO_EVIDENCE,FALSE,
GSE116256,AML916-D0,T_NK,present,,FALSE,
GSE116256,AML921A-D0,B_Plasma,present,,FALSE,
GSE116256,AML921A-D0,Erythroid,present,,FALSE,
GSE116256,AML921A-D0,HSC_MPP,present,,FALSE,
GSE116256,AML921A-D0,LMPP_GMP,present,,FALSE,
GSE116256,AML921A-D0,Megakaryocyte,present,,FALSE,
GSE116256,AML921A-D0,Mono_DC,present,,FALSE,
GSE116256,AML921A-D0,Stromal,NA_technical,STROMAL_NO_EVIDENCE,FALSE,
GSE116256,AML921A-D0,T_NK,present,,FALSE,
GSE116256,AML997-D0,B_Plasma,present,,FALSE,
GSE116256,AML997-D0,Erythroid,present,,FALSE,
GSE116256,AML997-D0,HSC_MPP,present,,FALSE,
GSE116256,AML997-D0,LMPP_GMP,present,,FALSE,
GSE116256,AML997-D0,Megakaryocyte,present,,FALSE,
GSE116256,AML997-D0,Mono_DC,present,,FALSE,
GSE116256,AML997-D0,Stromal,NA_technical,STROMAL_NO_EVIDENCE,FALSE,
GSE116256,AML997-D0,T_NK,present,,FALSE,
GSE116256,AML997-D35,B_Plasma,present,,FALSE,
GSE116256,AML997-D35,Erythroid,present,,FALSE,
GSE116256,AML997-D35,HSC_MPP,present,,FALSE,
GSE116256,AML997-D35,LMPP_GMP,present,,FALSE,
GSE116256,AML997-D35,Megakaryocyte,present,,FALSE,
GSE116256,AML997-D35,Mono_DC,present,,FALSE,
