dataset,sample,timepoint,hierarchy_bin,in_ccc_graph,n_cells,n_evaluable,n_malignant,malignant_frac,frac_high_error
GSE239721,PT26A,,Stromal,FALSE,1,1,0,0,0
GSE239721,PT26A,,Unassigned,FALSE,21,21,0,0,0
GSE239721,PT27A,,HSC_MPP,TRUE,3181,3181,837,0.2631,0.183
GSE239721,PT27A,,LMPP_GMP,TRUE,1550,1550,267,0.1723,0.0897
GSE239721,PT27A,,Mono_DC,TRUE,8,8,3,0.375,0.375
GSE239721,PT27A,,Erythroid,TRUE,302,302,75,0.2483,0.0464
GSE239721,PT27A,,Megakaryocyte,TRUE,2,2,2,1,0
GSE239721,PT27A,,T_NK,TRUE,0,0,0,,
GSE239721,PT27A,,B_Plasma,TRUE,1,1,0,0,0
GSE239721,PT27A,,Stromal,FALSE,5,5,0,0,0
GSE239721,PT27A,,Unassigned,FALSE,142,142,49,0.3451,0
GSE239721,PT28A,,HSC_MPP,TRUE,2163,2163,13,0.006,0.307
GSE239721,PT28A,,LMPP_GMP,TRUE,5125,5125,37,0.0072,0.0751
GSE239721,PT28A,,Mono_DC,TRUE,72,72,7,0.0972,0.0694
GSE239721,PT28A,,Erythroid,TRUE,239,239,2,0.0084,0.0251
GSE239721,PT28A,,Megakaryocyte,TRUE,1,1,0,0,0
GSE239721,PT28A,,T_NK,TRUE,6,6,0,0,0.1667
GSE239721,PT28A,,B_Plasma,TRUE,1,1,0,0,0
GSE239721,PT28A,,Stromal,FALSE,3,3,0,0,0
GSE239721,PT28A,,Unassigned,FALSE,102,102,6,0.0588,0
GSE239721,PT29A,,HSC_MPP,TRUE,1705,1705,275,0.1613,0.2856
GSE239721,PT29A,,LMPP_GMP,TRUE,384,384,26,0.0677,0.2109
GSE239721,PT29A,,Mono_DC,TRUE,6,6,1,0.1667,0
GSE239721,PT29A,,Erythroid,TRUE,1,1,0,0,0
GSE239721,PT29A,,Megakaryocyte,TRUE,0,0,0,,
GSE239721,PT29A,,T_NK,TRUE,28,28,14,0.5,0.1071
GSE239721,PT29A,,B_Plasma,TRUE,3,3,0,0,0
GSE239721,PT29A,,Stromal,FALSE,1,1,0,0,0
GSE239721,PT29A,,Unassigned,FALSE,65,65,40,0.6154,0
