dataset,sample,rds,timepoint,uid_patient,study,is_healthy_donor,timepoint_raw,timepoint_was_fixed,in_selection,dataset_role,in_primary_contrast,n_ccc_cells,is_patient_representative
GSE185381,GSM5613758_2019-11-04-count-2,/LARGE1/gr10634/gaozy/aml_niche_net/02_seurat_objects/01_per_sample_qc/GSE185381/GSM5613758_2019-11-04-count-2.rds,Healthy,GSE185381:Control0058_PAXMIJ_PAUMTZb,Lasry 2023 Nat Cancer,FALSE,Healthy,FALSE,TRUE,core,TRUE,2680,TRUE
GSE185381,GSM5613759_2019-11-04-count-3,/LARGE1/gr10634/gaozy/aml_niche_net/02_seurat_objects/01_per_sample_qc/GSE185381/GSM5613759_2019-11-04-count-3.rds,Healthy,GSE185381:Control0058_PAXMIJ_PAUMTZc,Lasry 2023 Nat Cancer,FALSE,Healthy,FALSE,TRUE,core,TRUE,3152,TRUE
GSE185381,GSM5613793_2020-03-18-82,/LARGE1/gr10634/gaozy/aml_niche_net/02_seurat_objects/01_per_sample_qc/GSE185381/GSM5613793_2020-03-18-82.rds,Healthy,GSE185381:Control0082,Lasry 2023 Nat Cancer,FALSE,Healthy,FALSE,TRUE,core,TRUE,942,TRUE
GSE185381,GSM5613769_2020-03-18-count-1,/LARGE1/gr10634/gaozy/aml_niche_net/02_seurat_objects/01_per_sample_qc/GSE185381/GSM5613769_2020-03-18-count-1.rds,Unknown,GSE185381:Control0082_AML052_AML022a,Lasry 2023 Nat Cancer,FALSE,Unknown,FALSE,TRUE,core,FALSE,5293,
GSE185381,GSM5613770_2020-03-18-count-2,/LARGE1/gr10634/gaozy/aml_niche_net/02_seurat_objects/01_per_sample_qc/GSE185381/GSM5613770_2020-03-18-count-2.rds,Unknown,GSE185381:Control0082_AML052_AML022b,Lasry 2023 Nat Cancer,FALSE,Unknown,FALSE,TRUE,core,FALSE,4911,
GSE185381,GSM5613771_2020-03-18-count-3,/LARGE1/gr10634/gaozy/aml_niche_net/02_seurat_objects/01_per_sample_qc/GSE185381/GSM5613771_2020-03-18-count-3.rds,Unknown,GSE185381:Control0082_AML052_AML022c,Lasry 2023 Nat Cancer,FALSE,Unknown,FALSE,TRUE,core,FALSE,4741,
GSE185381,GSM5613795_2020-05-22-5prime_2,/LARGE1/gr10634/gaozy/aml_niche_net/02_seurat_objects/01_per_sample_qc/GSE185381/GSM5613795_2020-05-22-5prime_2.rds,Healthy,GSE185381:Control0182,Lasry 2023 Nat Cancer,FALSE,Healthy,FALSE,TRUE,core,TRUE,1165,TRUE
GSE185381,GSM5613748_2019-08-01-count-2,/LARGE1/gr10634/gaozy/aml_niche_net/02_seurat_objects/01_per_sample_qc/GSE185381/GSM5613748_2019-08-01-count-2.rds,Healthy,GSE185381:Control1_Control2_Control3_Control4b,Lasry 2023 Nat Cancer,FALSE,Healthy,FALSE,TRUE,core,TRUE,4854,TRUE
GSE185381,GSM5613749_2019-08-01-count-3,/LARGE1/gr10634/gaozy/aml_niche_net/02_seurat_objects/01_per_sample_qc/GSE185381/GSM5613749_2019-08-01-count-3.rds,Healthy,GSE185381:Control1_Control2_Control3_Control4c,Lasry 2023 Nat Cancer,FALSE,Healthy,FALSE,TRUE,core,TRUE,4184,TRUE
GSE185381,GSM5613750_2019-08-01-count-4,/LARGE1/gr10634/gaozy/aml_niche_net/02_seurat_objects/01_per_sample_qc/GSE185381/GSM5613750_2019-08-01-count-4.rds,Healthy,GSE185381:Control1_Control2_Control3_Control4d,Lasry 2023 Nat Cancer,FALSE,Healthy,FALSE,TRUE,core,TRUE,4285,TRUE
