dataset,sample,pathway,score,pair_id,arm,family,short,arm_s
GSE227903,3853_R,HALLMARK_TNFA_SIGNALING_VIA_NFKB_UCell,0.091566241866684,8,TP53-WT,Inflammatory response,"TNFA SIGNALING VIA
NFKB",WT
GSE227903,3853_R,HALLMARK_IL6_JAK_STAT3_SIGNALING_UCell,0.0579723796318624,8,TP53-WT,Inflammatory response,"IL6 JAK STAT3
SIGNALING",WT
GSE227903,4978_R,HALLMARK_TGF_BETA_SIGNALING_UCell,0.144644332556047,7,TP53-WT,TGF-beta signalling,TGF BETA SIGNALING,WT
GSE227903,4978_R,REACTOME_SIGNALING_BY_TGFB_FAMILY_MEMBERS_UCell,0.105607827760599,7,TP53-WT,TGF-beta signalling,"SIGNALING BY TGFB
FAMILY MEMBERS",WT
GSE227903,4978_R,KEGG_TGF_BETA_SIGNALING_PATHWAY_UCell,0.058114741047704,7,TP53-WT,TGF-beta signalling,"TGF BETA SIGNALING
PATHWAY",WT
GSE227903,4978_R,REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION_UCell,0.0281671498167279,7,TP53-WT,ECM organisation / receptor,"EXTRACELLULAR MATRIX
ORGANIZATION",WT
GSE227903,4978_R,KEGG_ECM_RECEPTOR_INTERACTION_UCell,0.0224401849444731,7,TP53-WT,ECM organisation / receptor,"ECM RECEPTOR
INTERACTION",WT
GSE227903,4978_R,REACTOME_COLLAGEN_FORMATION_UCell,0.0122726639261531,7,TP53-WT,ECM organisation / receptor,COLLAGEN FORMATION,WT
GSE227903,4978_R,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION_UCell,0.0471695296582757,7,TP53-WT,EMT,"EPITHELIAL
MESENCHYMAL
TRANSITION",WT
GSE227903,4978_R,HALLMARK_HYPOXIA_UCell,0.0876269420545948,7,TP53-WT,Hypoxia,HYPOXIA,WT
GSE227903,4978_R,HALLMARK_INFLAMMATORY_RESPONSE_UCell,0.0692812877185868,7,TP53-WT,Inflammatory response,INFLAMMATORY RESPONSE,WT
GSE227903,4978_R,HALLMARK_TNFA_SIGNALING_VIA_NFKB_UCell,0.156511252263664,7,TP53-WT,Inflammatory response,"TNFA SIGNALING VIA
NFKB",WT
GSE227903,4978_R,HALLMARK_IL6_JAK_STAT3_SIGNALING_UCell,0.070926198296888,7,TP53-WT,Inflammatory response,"IL6 JAK STAT3
SIGNALING",WT
GSE227903,6323_R,HALLMARK_TGF_BETA_SIGNALING_UCell,0.0943707563990098,8,TP53-mut,TGF-beta signalling,TGF BETA SIGNALING,mut
GSE227903,6323_R,REACTOME_SIGNALING_BY_TGFB_FAMILY_MEMBERS_UCell,0.0857469823602893,8,TP53-mut,TGF-beta signalling,"SIGNALING BY TGFB
FAMILY MEMBERS",mut
GSE227903,6323_R,KEGG_TGF_BETA_SIGNALING_PATHWAY_UCell,0.0404855444451831,8,TP53-mut,TGF-beta signalling,"TGF BETA SIGNALING
PATHWAY",mut
GSE227903,6323_R,REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION_UCell,0.0288677997288607,8,TP53-mut,ECM organisation / receptor,"EXTRACELLULAR MATRIX
ORGANIZATION",mut
GSE227903,6323_R,KEGG_ECM_RECEPTOR_INTERACTION_UCell,0.0162508529629267,8,TP53-mut,ECM organisation / receptor,"ECM RECEPTOR
INTERACTION",mut
GSE227903,6323_R,REACTOME_COLLAGEN_FORMATION_UCell,0.0173502401272411,8,TP53-mut,ECM organisation / receptor,COLLAGEN FORMATION,mut
GSE227903,6323_R,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION_UCell,0.0387130132959081,8,TP53-mut,EMT,"EPITHELIAL
MESENCHYMAL
TRANSITION",mut
GSE227903,6323_R,HALLMARK_HYPOXIA_UCell,0.0890942112573837,8,TP53-mut,Hypoxia,HYPOXIA,mut
