feature,median_p,min_p,frac_p05,frac_p01,n_draws_evaluable,kind,design,mut_def,n_mut_units,n_wt_candidates
C1QB,0.109375,0.03125,0.134,0,500,gene,B_patient_strict,strict,6,75
C1QC,0.21875,0.03125,0.022,0,500,gene,B_patient_strict,strict,6,75
CA9,0.34375,0.03125,0.038,0,500,gene,B_patient_strict,strict,6,75
CALR,0.65625,0.015625,0.014,0,500,gene,B_patient_strict,strict,6,75
CCL2,0.578125,0.078125,0,0,500,gene,B_patient_strict,strict,6,75
CCL3,0.28125,0.078125,0,0,500,gene,B_patient_strict,strict,6,75
CCL4,0.125,0.0625,0,0,500,gene,B_patient_strict,strict,6,75
CCN1,,Inf,,,0,gene,B_patient_strict,strict,6,75
CCN2,,Inf,,,0,gene,B_patient_strict,strict,6,75
CD163,0.15625,0.03125,0.092,0,500,gene,B_patient_strict,strict,6,75
CD226,0.5,0.046875,0.008,0,500,gene,B_patient_strict,strict,6,75
CD96,0.28125,0.015625,0.07,0,500,gene,B_patient_strict,strict,6,75
CDH2,0.5,0.0625,0,0,500,gene,B_patient_strict,strict,6,75
CDH5,0.03125,0.03125,0.528,0,500,gene,B_patient_strict,strict,6,75
COL11A1,0.5625,0.5625,0,0,115,gene,B_patient_strict,strict,6,75
COL1A1,0.5,0.0625,0,0,500,gene,B_patient_strict,strict,6,75
COL1A2,0.71875,0.21875,0,0,500,gene,B_patient_strict,strict,6,75
COL3A1,0.5,0.0625,0,0,500,gene,B_patient_strict,strict,6,75
COL4A1,0.6875,0.15625,0,0,500,gene,B_patient_strict,strict,6,75
COL5A1,0.21875,0.015625,0.302,0,500,gene,B_patient_strict,strict,6,75
COL5A2,0.34375,0.015625,0.066,0,500,gene,B_patient_strict,strict,6,75
COL6A1,0.78125,0.0625,0,0,500,gene,B_patient_strict,strict,6,75
COL6A2,0.578125,0.03125,0.012,0,500,gene,B_patient_strict,strict,6,75
COL6A3,0.78125,0.21875,0,0,500,gene,B_patient_strict,strict,6,75
CSF3R,0.5,0.03125,0.008,0,500,gene,B_patient_strict,strict,6,75
CTGF,,Inf,,,0,gene,B_patient_strict,strict,6,75
CTSK,0.65625,0.046875,0.004,0,500,gene,B_patient_strict,strict,6,75
CXCL1,0.078125,0.015625,0.314,0,500,gene,B_patient_strict,strict,6,75
CXCL12,0.71875,0.34375,0,0,500,gene,B_patient_strict,strict,6,75
