dataset,sample,n_cells_total,n_mono_dc,n_macrophage_like,n_monocyte_like,mac_score_p50,mac_score_p90,n_mac_markers_present,timepoint,uid_patient,mac_node_usable
Chen2023,AML469_CD34,3324,1,0,1,0.0936140532850785,0.0936140532850785,9,Diagnosis,Chen2023:AML469,FALSE
Chen2023,NBM1_Niche_Immune,5179,39,0,39,0,0,9,Healthy,Chen2023:NBM1,FALSE
Chen2023,NBM2_Niche_Immune,2271,18,0,18,0,0,9,Healthy,Chen2023:NBM2,FALSE
Chen2023,NBM3_Niche_immune,3639,15,0,15,0,0,9,Healthy,Chen2023:NBM3,FALSE
E-MTAB-11536,621B-BMA,598,20,0,20,0.264100352233892,0.595721812140956,10,Healthy,E-MTAB-11536:621B,FALSE
GSE116256,AML328-D171,961,6,0,6,0.212043276065722,0.427174205476114,10,Post_treatment,GSE116256:AML328,FALSE
GSE116256,AML420B-D14,938,0,0,0,,,10,Post_treatment,GSE116256:AML420B,FALSE
GSE116256,AML556-D15,935,0,0,0,,,10,Post_treatment,GSE116256:AML556,FALSE
GSE116256,AML556-D31,1104,561,0,555,0,0.156668709405614,10,Post_treatment,GSE116256:AML556,FALSE
GSE116256,AML707B-D113,576,99,0,97,0,0.112676878671595,10,Post_treatment,GSE116256:AML707B,FALSE
GSE116256,AML707B-D18,1413,1,0,1,0,0,10,Post_treatment,GSE116256:AML707B,FALSE
GSE116256,BM4,2992,932,0,927,0,0.172423002085707,10,Healthy,GSE116256:BM4,FALSE
GSE116256,BM5-34p,967,11,0,10,0,0.102565039590268,10,Healthy,GSE116256:BM5,FALSE
GSE116256,BM5-34p38n,1223,2,0,2,0,0,10,Healthy,GSE116256:BM5,FALSE
GSE147989,009C1D1BL,741,0,0,0,,,9,Post_treatment,GSE147989:009,FALSE
GSE147989,009SCRBL,1016,0,0,0,,,9,Diagnosis,GSE147989:009,FALSE
GSE185381,GSM5613744_2019-07-01-count-1,7592,2039,0,2035,0,0.165611695186859,10,Diagnosis,GSE185381:AML0612_AML3762_AML0160_AML0310_AML3133a,FALSE
GSE185381,GSM5613780_2020-10-06-AML4897,2439,217,0,214,0,0.11910498993793,10,Diagnosis,GSE185381:AML4897,FALSE
GSE185381,GSM5613788_2021-03-09-Z-1-1,825,78,0,74,0,0.181329665719422,10,Diagnosis,GSE185381:AML0114a,FALSE
GSE185381,GSM5613790_2021-03-09-Z-1-3,1670,105,0,105,0,0.15967458910623,10,Diagnosis,GSE185381:AML0114c,FALSE
GSE185381,GSM5613791_2019-10-21-1-Control0004,12032,0,0,0,,,10,Healthy,GSE185381:Control0004,FALSE
GSE185381,GSM5613793_2020-03-18-82,1106,0,0,0,,,10,Healthy,GSE185381:Control0082,FALSE
GSE185381,GSM5613795_2020-05-22-5prime_2,1347,0,0,0,,,10,Healthy,GSE185381:Control0182,FALSE
GSE185381,GSM5613796_2020-08-07-MDS-AML_cDNA1,1416,0,0,0,,,10,Healthy,GSE185381:Control4003a,FALSE
GSE185381,GSM5613797_2020-08-07-MDS-AML_cDNA2,1078,0,0,0,,,10,Healthy,GSE185381:Control4003,FALSE
GSE185381,GSM5613800_2021-04-29-0102_cDNA,1479,0,0,0,,,10,Diagnosis,GSE185381:AML0102,FALSE
GSE185381,GSM5613801_2021-04-29-0134_cDNA,1435,0,0,0,,,10,Diagnosis,GSE185381:AML0134,FALSE
GSE185381,GSM5613804_2021-04-29-2910_cDNA,2197,0,0,0,,,10,Diagnosis,GSE185381:AML2910,FALSE
GSE185381,GSM5613805_2021-04-29-2975_cDNA,786,0,0,0,,,10,Diagnosis,GSE185381:AML2975,FALSE
GSE185381,GSM5613806_2021-04-29-3948_cDNA,2307,0,0,0,,,10,Diagnosis,GSE185381:AML3948,FALSE
GSE185991,GSM5628168_M08,1354,0,0,0,,,10,Diagnosis,GSE185991:PT06,FALSE
GSE185991,GSM5628174_M24,5071,0,0,0,,,10,Post_treatment,GSE185991:PT07,FALSE
GSE185991,GSM5628176_M26,1540,510,0,510,0,0.0465374469125552,10,Post_treatment,GSE185991:PT02,FALSE
GSE185991,GSM5628177_M27,974,0,0,0,,,10,Post_treatment,GSE185991:PT01,FALSE
GSE185991,GSM5628187_M40,1975,607,0,606,0.0764218355921596,0.177964989568361,10,Diagnosis,GSE185991:PT12,FALSE
GSE185991,GSM5628192_M45,1112,123,0,123,0,0.118562493444022,10,Post_treatment,GSE185991:PT12,FALSE
GSE185991,GSM5628196_M49,3049,36,0,30,0,0.130716112544939,10,Relapse,GSE185991:PT15,FALSE
GSE185991,GSM6412452_M89,3310,30,0,29,0.0117366570812473,0.153396449734728,10,Post_treatment,GSE185991:PT18,FALSE
GSE201966,GSM6085179_AML02M5_P,2719,2339,0,2339,0,0.138164961928402,9,Diagnosis,GSE201966:AML02M5,FALSE
GSE201966,GSM6085181_AML03M5_P,7231,6745,0,6745,0,0.166876686917641,9,Diagnosis,GSE201966:AML03M5,FALSE
GSE207356,GSM6284912_TS173_04_Sample_D,9924,49,0,49,0,0.0887164439223279,10,Diagnosis,GSE207356:TS173,FALSE
GSE207356,GSM6284914_TS173_06_Sample_F,7462,2874,0,2873,0,0.0641032697517954,10,Post_treatment,GSE207356:TS173,FALSE
GSE227903,5143_R,2103,557,0,557,0.0465186918075136,0.225541164708336,10,Relapse,GSE227903:5143,FALSE
GSE227903,6323_Dg,604,243,0,243,0,0.145896384578359,10,Diagnosis,GSE227903:6323,FALSE
GSE227903,6323_R,892,215,0,213,0,0.156983596251091,10,Relapse,GSE227903:6323,FALSE
GSE239721,PT10A,1236,3,0,3,0,0.0725542517789746,10,Diagnosis,GSE239721:PT10A,FALSE
GSE239721,PT14A,636,3,0,3,0,0.0298803279266304,10,Diagnosis,GSE239721:PT14A,FALSE
GSE239721,PT15A,4053,0,0,0,,,10,Diagnosis,GSE239721:PT15A,FALSE
