stratum,gene,n_samples_WT,n_samples_mut,n_cells_WT,n_cells_mut,n_pos_WT,n_pos_mut,mean_lognorm_WT,mean_lognorm_mut,pct_mut,pct_WT,log_or,se,z_cell,odds_ratio,p_cell_two_sided,n_pairs,median_delta_log2cpm,p_sample_higher,frac_pairs_mut_higher,category,fdr_sample
HSC_MPP,PPBP,5,8,2202,2616,58,22,0.0122540995322548,0.00947446982775409,0.840978593272171,2.63396911898274,-1.1459988398783,0.249780306309895,-4.58802720201844,0.317906221741257,4.4745434545596e-06,5,-0.00113028317823663,0.78125,0.4,megakaryocyte_fibrosis_axis,0.868055555555556
HSC_MPP,SELL,5,8,2202,2616,1407,1128,0.761537523406318,0.5293944770773,43.1192660550459,63.8964577656676,-0.847479096434245,0.0593759201832013,-14.2731109483338,0.428493763017951,3.21892550480412e-46,5,-0.201949916184269,0.78125,0.2,monocyte_marker,0.78125
HSC_MPP,VEGFA,5,8,2202,2616,353,108,0.0979758612296538,0.0284364988706737,4.12844036697248,16.030881017257,-1.48590294500791,0.113950758909975,-13.0398687926408,0.226297913825666,7.25818458657887e-39,5,-0.00079968657150916,0.78125,0.4,profibrotic_cytokine_gf,0.992647058823529
HSC_MPP,CXCL1,5,8,2202,2616,249,71,0.138221370392227,0.0248622475039779,2.71406727828746,11.3079019073569,-1.51446592433888,0.137472840447214,-11.0164736497199,0.219925610403679,3.18285026545583e-28,5,-0.0158301632816176,0.8125,0.4,inflammatory_cytokine,0.870535714285714
HSC_MPP,NECTIN1,5,8,2202,2616,333,49,0.0887151535028942,0.00809200018132349,1.87308868501529,15.1226158038147,-2.22493184316658,0.155321947147687,-14.3246455766552,0.108074784418891,1.53509236112002e-46,5,-0.0203382340104319,0.8125,0.2,nectin_target,1
HSC_MPP,OGN,5,8,2202,2616,22,23,0.00668303480240623,0.00614088107417249,0.879204892966361,0.999091734786558,-0.129968994568895,0.296381216809045,-0.438519673979989,0.878122657070026,0.661009611554308,5,-0.00352286536483526,0.8125,0.2,collagen_ecm_structural,1
HSC_MPP,SFRP4,5,8,2202,2616,8,6,0.00470001616091345,0.00127595863795789,0.229357798165138,0.36330608537693,-0.441851530316998,0.521854352969868,-0.846695112922648,0.642845071374652,0.397165083421715,5,-0.00424485348567246,0.8125,0.4,msc_niche,1
HSC_MPP,SNAI1,5,8,2202,2616,180,182,0.0442116127425813,0.0502930878698282,6.95718654434251,8.17438692098093,-0.174387631440498,0.109200814101721,-1.59694442642208,0.839971235284111,0.110278095572509,5,-0.00210716216607755,0.8125,0.2,emt,1
HSC_MPP,TAGLN,5,8,2202,2616,251,28,0.0544885771986984,0.00693154902486987,1.07033639143731,11.3987284287012,-2.46001915198648,0.199906510409377,-12.3058481034397,0.0854333147339644,8.42468095834206e-35,5,-0.00313799236008179,0.8125,0.2,msc_niche,1
HSC_MPP,LEPR,5,8,2202,2616,244,106,0.0627143951505585,0.0271877539049108,4.0519877675841,11.0808356039964,-1.07937338613432,0.119952377138119,-8.99834927732597,0.33980838759419,2.29136826089512e-19,5,-0.0271762143076902,0.84375,0.4,msc_niche,1
HSC_MPP,MAF,5,8,2202,2616,227,79,0.0659027146960065,0.0249555248624151,3.01987767584098,10.3088101725704,-1.30175103022932,0.133695588481962,-9.73667901095288,0.272054999188004,2.10315374479706e-22,5,-0.0125464870866811,0.84375,0.4,macrophage_marker,1
HSC_MPP,PDGFA,5,8,2202,2616,751,216,0.509290415189832,0.0805012876926633,8.25688073394495,34.1053587647593,-1.7475602062568,0.083994833092231,-20.805567936993,0.174198433654111,3.85369097200908e-96,5,-0.00500827633294718,0.84375,0.2,profibrotic_cytokine_gf,0.992647058823529
HSC_MPP,TGFB1,5,8,2202,2616,1633,1214,0.827181483838832,0.472180040292587,46.4067278287462,74.1598546775659,-1.19764533710851,0.0624860405840118,-19.1666062678158,0.301904258378088,7.03512176500068e-82,5,-0.0892091226738609,0.84375,0.2,profibrotic_cytokine_gf,0.992647058823529
