dataset,sample,ligand,n_edges,total_prob,primitive_sender_share,primitive_receiver_share,primitive_autocrine_share,immune_receiver_share,prim_to_immune_share,group
GSE185381,GSM5613757_2019-11-04-count-1,MIF,23,3.8213620071366283,0.6091462081300827,0.30662622988117655,0.19923463135305017,0.6933737701188235,0.40991157677703255,healthy
GSE185381,GSM5613758_2019-11-04-count-2,CD99,18,1.2882183460904093,0.6495823212172568,0.6656850052454187,0.3724894069614745,0.20009466137582246,0.14287258087702345,healthy
GSE185381,GSM5613758_2019-11-04-count-2,LGALS9,45,0.5196452342748525,0.4395181216802495,0.47339429463122723,0.20712435282008948,0.47165052280671743,0.20987861329161836,healthy
GSE185381,GSM5613758_2019-11-04-count-2,MIF,20,3.650837190778859,0.6688333805328512,0.28080313438638194,0.22971662410970375,0.6781580680817936,0.3980779588913228,healthy
GSE185381,GSM5613759_2019-11-04-count-3,CD99,14,1.3279821357635468,0.7169942325451887,0.7169942325451887,0.4339884650903775,0.10784347489415153,0.10784347489415153,healthy
GSE185381,GSM5613759_2019-11-04-count-3,LGALS9,12,0.1001464839667177,1.0,0.39603430180119886,0.39603430180119886,0.5021446490617906,0.5021446490617906,healthy
GSE185381,GSM5613759_2019-11-04-count-3,MIF,19,3.171248013465592,0.7649218339157864,0.3629401469715569,0.2555741823813853,0.5316210884668772,0.4039088869728352,healthy
GSE185381,GSM5613760_2019-11-19-count-1,CD99,35,0.8708229456404659,0.638754679352318,0.6622650166423809,0.43123851563534976,0.2913942457840983,0.18775656797778856,AML
GSE185381,GSM5613760_2019-11-19-count-1,LGALS9,17,0.9542234479903322,0.32951437175816745,0.22742617332617004,0.0,0.77257382667383,0.32951437175816745,AML
GSE185381,GSM5613760_2019-11-19-count-1,MIF,16,3.08841359142829,0.5981457990451251,0.04904036205731019,0.04904036205731019,0.9509596379426897,0.5491054369878149,AML
GSE185381,GSM5613761_2019-11-19-count-2,CD99,26,0.9606445223141562,0.6990674146410472,0.6979638446129071,0.44246266753117525,0.19108450556130982,0.1456530972840888,AML
GSE185381,GSM5613761_2019-11-19-count-2,LGALS9,8,0.5131402035606327,0.3755625892858621,0.0,0.0,1.0,0.3755625892858621,AML
GSE185381,GSM5613761_2019-11-19-count-2,MIF,29,5.032681893731121,0.4518178191474256,0.12807562871685782,0.06217351354026215,0.8719243712831422,0.38964430560716334,AML
GSE185381,GSM5613762_2019-11-26-count-1,CD99,38,1.1699758733940218,0.528104224680526,0.5206300673317108,0.25737417168430604,0.4107042369891621,0.21880805393855457,AML
GSE185381,GSM5613762_2019-11-26-count-1,LGALS9,48,0.9310277574573154,0.7646141519584829,0.2925923974914349,0.2234057680575909,0.5894926346810807,0.4395912604181136,AML
GSE185381,GSM5613762_2019-11-26-count-1,MIF,25,3.5940062944863542,0.5071213667470367,0.2514094779138828,0.1610035633123661,0.7485905220861172,0.34611780343467063,AML
GSE185381,GSM5613763_2019-11-26-count-2,CD99,29,1.0917035378086501,0.4878037999473868,0.4835147674823082,0.22756848285375494,0.3519103081202342,0.1658795339619199,AML
GSE185381,GSM5613763_2019-11-26-count-2,LGALS9,30,0.6157264110711553,0.4633344524801706,0.34594783117987926,0.15757440651076657,0.5794045468686515,0.270838104184477,AML
GSE185381,GSM5613763_2019-11-26-count-2,MIF,25,4.385076509650493,0.47242978767187965,0.3285428601107158,0.1871421121663406,0.6714571398892842,0.28528767550553913,AML
GSE185381,GSM5613764_2020-01-03-count-1,CD99,23,1.2301295429570924,0.6423590443439231,0.6288329941726293,0.40468648297005505,0.3443846214922743,0.22012764606515936,AML
GSE185381,GSM5613764_2020-01-03-count-1,LGALS9,41,1.590894564848006,0.5004756612334124,0.3725855273253977,0.1867396863214172,0.5505296981402568,0.27519900925354696,AML
GSE185381,GSM5613764_2020-01-03-count-1,MIF,25,4.524003701215769,0.5205807006451404,0.2533399659186342,0.16597339709426093,0.7466600340813657,0.3546073035508794,AML
GSE185381,GSM5613765_2020-01-03-count-2,CD99,19,1.172237976884125,0.6496617842942786,0.6444306670721855,0.4216002615797201,0.31824679739469647,0.20978280484172082,AML
GSE185381,GSM5613765_2020-01-03-count-2,LGALS9,28,0.9911692942370903,0.7106571486855331,0.2917777612818303,0.2355296926556396,0.6198209874743621,0.41543483735495346,AML
