tier,hierarchy_bin,gene,logFC,P.Value,q_within_bin,q_pooled,hit_baseline,hit_pooled
primary,Mono_DC,DSE,-1.75138798288624,0.000923542343022847,0.0204533102433715,0.0660889307292148,TRUE,FALSE
primary,Mono_DC,CD70,3.52508569303551,0.000927455537997565,0.0204988118809121,0.0661534763450276,TRUE,FALSE
primary,Mono_DC,LAMTOR4,-0.557696118781789,0.000946358686421786,0.0208331136777363,0.0670663031677426,FALSE,FALSE
primary,Mono_DC,PRKACB,0.875481573136279,0.000967865953939607,0.0211378091207919,0.0683624530475355,FALSE,FALSE
primary,Mono_DC,MYB,1.84773705586902,0.000973983695383432,0.021229379795225,0.0683624530475355,TRUE,FALSE
primary,Mono_DC,FIS1,-0.562888393530109,0.000979471493188321,0.0213068857956095,0.0684132098649751,FALSE,FALSE
primary,Mono_DC,OPTN,1.35111140689855,0.000997766254626956,0.0216195756822804,0.0693668571136063,TRUE,FALSE
primary,Mono_DC,STMN3,1.04770156276411,0.00100196146748504,0.0216255049410812,0.0694387743822675,TRUE,FALSE
primary,Mono_DC,JUNB,-1.11120054902481,0.00101679474851076,0.0218600960649613,0.0694971418787782,TRUE,FALSE
primary,Mono_DC,NFYC,-0.404208312313215,0.00101560862632715,0.0218600960649613,0.0694971418787782,FALSE,FALSE
primary,Mono_DC,EIF3K,-0.588663178689054,0.00103322623677513,0.0220842096228545,0.0699094744964717,FALSE,FALSE
primary,Mono_DC,OGFRL1,-0.679087020006942,0.00103741922813083,0.0221309413289263,0.0699094744964717,FALSE,FALSE
primary,Mono_DC,HIST2H2AB,1.48078665470096,0.00104693964720011,0.0222051872480192,0.0699094744964717,TRUE,FALSE
primary,Mono_DC,TRAPPC2L,-0.577741510071233,0.00104541957331559,0.0222051872480192,0.0699094744964717,FALSE,FALSE
