alpha,feature_set,features,mean_healthy,mean_aml,beta_global,p_global,beta_strat,p_strat,family,q_strat,split
0.0,only_cs_antiapoptotic,cs_antiapoptotic,0.08447740328509176,0.13451081056289443,0.019398832469411275,0.41909458090541907,0.008288182232654687,0.7903982096017904,cs,0.811198162486048,discovery
0.0,only_cs_apoptotic_priming,cs_apoptotic_priming,0.161377332126674,0.1305966306336406,-0.04511458563277264,0.11867188132811868,-0.062201178976990436,0.06941493058506941,cs,0.20766643519070765,discovery
0.0,only_cs_cytotoxicity,cs_cytotoxicity,0.16566688614987968,0.23000936390421298,-0.0001327102636564504,0.9947600052399947,0.023007760614918195,0.27636672363327636,cs,0.46862183572599037,discovery
0.0,only_cs_exhaustion,cs_exhaustion,0.1172020464336454,0.24922726683262117,0.0718336620513654,0.027200972799027202,0.09537952368443388,0.003578996421003579,cs,0.04652695347304653,discovery
0.0,only_cs_interferon_I,cs_interferon_I,0.09137260755706236,0.1615822843346024,0.028721355485716464,0.34249465750534247,0.04437025954430651,0.23227076772923227,cs,0.4117527246109118,discovery
0.0,only_cs_interferon_II,cs_interferon_II,0.12018740730541075,0.1825795602127942,0.0327629821808932,0.31686368313631685,0.06642484502388167,0.07454692545307455,cs,0.20766643519070765,discovery
0.0,only_cs_mhc_i,cs_mhc_i,0.08330827744482698,0.153182277622106,0.04157446571723747,0.20543679456320543,0.055903926397800216,0.11783788216211784,cs,0.2418777581222419,discovery
0.0,only_cs_mhc_ii,cs_mhc_ii,0.05918317234518976,0.13605590369627074,0.02742996784651044,0.2341107658892341,0.022667225927036825,0.3653656346343654,cs,0.5531919468080532,discovery
0.0,only_cs_naive_memory,cs_naive_memory,0.10262104178931886,0.19678997277446597,0.04886591297180235,0.019545980454019545,0.041249751583864194,0.09286790713209286,cs,0.22617453853134384,discovery
0.0,only_cs_retention_ligand,cs_retention_ligand,0.05148935693382638,0.10636489709222893,0.054494929167835895,0.021373978626021375,0.052793600884682504,0.0514969485030515,cs,0.20766643519070765,discovery
0.0,only_cs_retention_receptor,cs_retention_receptor,0.11110469189924861,0.1343932605060537,0.03315672177820144,0.3095116904883095,0.058935311758879,0.12485587514412486,cs,0.24346895653104345,discovery
0.0,only_cs_sasp,cs_sasp,0.11861503250233545,0.14514937557152174,-0.0074002204454663816,0.7849332150667849,-0.01117276011029449,0.7310972689027311,cs,0.811198162486048,discovery
